"recommendation_id","priority","workstream","scope","current_problem","required_remediation","acceptance_evidence","dependencies","owner_role","status","target_gate","target_date","closure_evidence","reviewer_role","review_status","blocker","disposition","replacement_id"
"PCR-001","P0","Content governance","Repository-wide Markdown","The repository presents studies briefs protocols registers results and placeholders as one undifferentiated content class.","Define a governed taxonomy including study brief protocol reference register result tutorial ADR and presentation source with required fields for each type.","A versioned taxonomy document lists each allowed type its purpose required metadata quality gate and publication behavior.","none","Editorial Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-002","P0","Content governance","All Markdown and generated pages","Page maturity is implicit and readers cannot distinguish a hypothesis from verified evidence or an approved decision.","Inventory every page and assign content type evidence maturity owner review date and canonical or supporting status.","A machine-readable inventory covers 100 percent of published pages and has no unclassified records.","PCR-001","Content Governance Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-003","P0","Editorial quality","Substantive studies and research articles","Most articles are short outlines without a complete decision argument evidence analysis or limitations.","Publish a principal article contract and QA rubric covering decision question audience scope evidence competing options analysis inline exhibits implications limitations ownership and next gate.","A reusable template and scored rubric exist and one exemplar study passes every mandatory rubric item.","PCR-001","Editorial Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-004","P1","Information architecture","docs/00 through docs/40 and related research","Fragmentation into many short sequential notes creates an illusion of breadth and duplicates generic guidance.","Consolidate overlapping notes into a governed set of pillar studies and redirect or archive superseded stubs without losing evidence lineage.","A content map names each pillar its supporting annexes and every former page disposition with working redirects or canonical links.","PCR-001;PCR-002;PCR-003","Information Architect","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-005","P0","Editorial integrity","Comparison baseline and research page titles","Several pages claim to be comparisons or baselines but contain only questions protocols or future inventory requirements.","Rename each overclaiming page to its current artifact type or expand it until it contains evidence-based comparisons findings and implications.","A title-to-content audit finds no page whose title claims a maturity level unsupported by its body and evidence state.","PCR-001;PCR-002","Editorial Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-006","P1","Audience design","Executives architects developers DevOps and platform teams","Audience guidance exists but the publication does not provide explicit decision-stage journeys through canonical content.","Define role-based and decision-stage reading journeys that identify the required executive technical delivery and evidence views.","Each named audience has a tested entry path with purpose expected outcome and links to canonical studies rather than duplicate summaries.","PCR-002;PCR-004","Content Strategist","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-007","P0","Site publishing","Site cards navigation search and page chrome","The site labels every Markdown document as a study note regardless of artifact type or maturity.","Drive site labels filters badges and page chrome from governed content type and evidence-maturity metadata.","Rendered pages and search results show the correct type and maturity for every inventoried page with automated coverage tests.","PCR-001;PCR-002","Site Engineering Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-008","P1","Site publishing","Generated card summaries and calls to action","Generic summaries and calls to action obscure what a page actually concludes and whether it is actionable.","Replace generic generated descriptions with outcome-oriented summaries sourced from approved metadata and show the next appropriate workflow action.","Every published card states the page question outcome evidence state and next action with no generic placeholder copy.","PCR-002;PCR-007","UX Content Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-009","P0","Roadmap governance","README delivery reports and repository roadmap","Phase 0 is described as complete even though only the technical publication baseline is complete and the editorial decision-grade baseline is not.","Correct status language across authoritative documents and distinguish technical publication readiness from editorial evidence and decision readiness.","README roadmap and delivery reporting use one reconciled maturity model and no longer imply decision-grade completion.","PCR-001;PCR-002","Program Governance Lead","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
"PCR-010","P1","Quality automation","Repository validation and CI","There is no automated enforcement of required metadata article sections maturity rules source links or canonical status.","Add deterministic validation for content metadata taxonomy required sections stale review dates broken lineage and disallowed maturity claims.","CI fails on representative invalid fixtures and passes the classified corpus with a published validation report.","PCR-001;PCR-002;PCR-003","Repository Maintainer","backlog","TBD","TBD","none","Independent Reviewer","not-reviewed","none","open","none"
