criterion_id,category,criterion,requirement_type,default_weight,evidence_required,acceptance_test,status
ARCH-01,architecture,Separates control-plane availability from request-path availability,weighted,2,E1 official source and E3 where material,Evidence demonstrates separates control-plane availability from request-path availability for the exact deployment variant; limitations and version are recorded,unknown
ARCH-02,architecture,Supports enterprise-hosted data planes in AKS,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates support for enterprise-hosted data planes in AKS for the exact deployment variant; limitations and version are recorded,unknown
ARCH-03,architecture,Supports data planes in private or on-premises locations,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports data planes in private or on-premises locations for the exact deployment variant; limitations and version are recorded,unknown
ARCH-04,architecture,Supports multiple isolated failure domains under central governance,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports multiple isolated failure domains under central governance for the exact deployment variant; limitations and version are recorded,unknown
ARCH-05,architecture,Documents configuration and runtime data stores,weighted,2,E1 official source and E3 where material,Evidence demonstrates documents configuration and runtime data stores for the exact deployment variant; limitations and version are recorded,unknown
ARCH-06,architecture,Provides a tested disconnected-control-plane operating mode,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides a tested disconnected-control-plane operating mode for the exact deployment variant; limitations and version are recorded,unknown
ARCH-07,architecture,Supports stable facade routing during backend migration,weighted,4,E1 official source and E3 where material,Evidence demonstrates supports stable facade routing during backend migration for the exact deployment variant; limitations and version are recorded,unknown
ARCH-08,architecture,Supports external internal and partner trust-zone separation,weighted,5,E1 official source and E3 where material,Evidence demonstrates supports external internal and partner trust-zone separation for the exact deployment variant; limitations and version are recorded,unknown
ARCH-09,architecture,Supports controlled multi-region deployment,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports controlled multi-region deployment for the exact deployment variant; limitations and version are recorded,unknown
ARCH-10,architecture,Provides an exportable exit and restore path,weighted,3,E1 official source and E3 where material,Evidence demonstrates provides an exportable exit and restore path for the exact deployment variant; limitations and version are recorded,unknown
SEC-01,security,Integrates with enterprise OAuth 2.0 and OpenID Connect authorization servers,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates integrates with enterprise oauth 2.0 and openid connect authorization servers for the exact deployment variant; limitations and version are recorded,unknown
SEC-02,security,Validates JWT issuer audience expiry algorithm and clock skew,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates validates jwt issuer audience expiry algorithm and clock skew for the exact deployment variant; limitations and version are recorded,unknown
SEC-03,security,Supports client and upstream mutual TLS with managed rotation,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates supports client and upstream mutual tls with managed rotation for the exact deployment variant; limitations and version are recorded,unknown
SEC-04,security,Provides granular administrator RBAC and SSO with MFA,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates provides granular administrator rbac and sso with mfa for the exact deployment variant; limitations and version are recorded,unknown
SEC-05,security,Supports workload identity without long-lived static credentials,weighted,2,E1 official source and E3 where material,Evidence demonstrates supports workload identity without long-lived static credentials for the exact deployment variant; limitations and version are recorded,unknown
SEC-06,security,Integrates with an approved external secrets and key-management system,mandatory,5,E3 lab plus E1 official source; E4 pilot before production,Evidence demonstrates integrates with an approved external secrets and key-management system for the exact deployment variant; limitations and version are recorded,unknown
